To check,CodeUnits,DESCRIPTION,EXTRA,TABLETS_PER_DAY,DAILY_DOSE,ALT_OTHER_MEDS,REP,REP2,THEN,DAYS,NUM2,DOSE2
,TAKE TWO TABS IN THE MORNING AND TWO AT LUNCH TIME,take2tabsinthemorningand2atlunchtime,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING AND TWO AT LUNCHTIME.,take2tabsinthemorningand2atlunchtime,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING AND TWO AT LUNCH TIME  (REDUCED AUG 10),take2tabsinthemorningand2atlunchtimereducedaug10,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING AND TWO TAB AT LUNCH TIME  (OPC  DEC  10),take2tabsinthemorningand2tabatlunchtimeopcdec10,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING AND TWO TABLETS IN EVENING (OPC FEB 13),take2tabsinthemorningand2tabletsineveningopcfeb13,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING AND TWO TABLETS IN EVENING (OPC JAN 13),take2tabsinthemorningand2tabletsineveningopcjan13,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,"TAKE  TWO TABS IN THE MORNING AND TWO TABS AT 1PM ON ALT DAYS, THEN ON THE ALT DAYS WHEN N",take2tabsinthemorningand2tabsat1pmonaltdaysthenonthealtdayswhenn,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,"TAKE TWO TABS IN THE MORNING AND TWO TABS AT LUNCH TIME,  (OPC   OCT  09)",take2tabsinthemorningand2tabsatlunchtimeopcoct09,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING AND TWO TABS IN THE AFTERNOON  (IP MAY 15),take2tabsinthemorningand2tabsintheafternoon,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,"TAKE TWO TABS IN THE MORNING, AS DIRECTED BY THE HOSPITAL",take2tabsinthemorningasdirectedbythehospital,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING   (OPC  AUG  15),take2tabsinthemorningopcaug15,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS IN THE MORNING (OPC  MAY 16),take2tabsinthemorningopcmay16,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS IN THE MORNING TAKE 1 TABLET(S) AT LUNCH,take2tabsinthemorningtake1tabletsatlunch,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS IN THE MORNING TAKE TWO TABS AT NOON,take2tabsinthemorningtake2tabsatnoon,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,take 2 tabs in the morning  -  then  two at 2pm,take2tabsinthemorningthen2at2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS IN THE MORNING THEN TWO AT 2PM,take2tabsinthemorningthen2at2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS MANE  (IP  FEB 16),take2tabsmane,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  TWO TABS MANE  (IP  JUN 15),take2tabsmane,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2  TABS MANE 1 IN AFTERNOON,take2tabsmane1inafternoon,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS MANE 2 TABS  AFTERNOON,take2tabsmane2tabsafternoon,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS MANE AND ONE AT 2PM  (IP  FEB 15)  Notes for patient: this has been reduced ,take2tabsmaneand1at2pm,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS MANE AND ONE AT 2PM  (OPC  AUG 14),take2tabsmaneand1at2pmopcaug14,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  TWO TABS MANE AND ONE TABS AT 2PM  (IP  JUN 15),take2tabsmaneand1tabsat2pm,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS MID DAY FOR HF,take2tabsmiddayforhf,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS MORNING ONE AT LUNCH,take2tabsmorning1atlunch,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS MORNING AND ONE TAB LUNCH TIME,take2tabsmorningand1tablunchtime,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS MORNING AND TWO TABS AT NIGHT,take2tabsmorningand2tabsatnight,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2  TABS OD,take2tabsod,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS ON ONE DAY AND ONE ON THE NEXT,take2tabson1dayand1onthenext,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,"TAKE TWO TABS ON A MONDAY, WEDNESDAY AND FRIDAY,  AND ONE TAB ON SUNDAY, TUESDAY, THURSDAY",take2tabsonamondaywednesdayandfridayand1tabonsundaytuesdaythursday,0,1.29,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS ONCE A DAY IN THE MORNING  (IP  JAN 15),take2tabsonceadayinthemorning,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS ONCE A DAY IN THE MORNING AND ONE TAB IN THE AFTERNOON    (IP FEB 15),take2tabsonceadayinthemorningand1tabintheafternoon,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS  ONCE DAILY  (IP  AUG  11),take2tabsoncedaily,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS ONCE DAILY,take2tabsoncedaily,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS ONCE DAILY  (OPC  APR 16),take2tabsoncedailyopcapr16,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS TODAY AND THEN ONE TABLET(S) EVERY DAY FOR NEXT 6 DAYS,take2tabstodayandthen1tabletseverydayfornext6days,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TABS TO-DAY THEN 1 TABLET(S) DAILY,take2tabstodaythen1tabletsdaily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TABS TWICE A DAY,take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (IP  DEC 12),take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TABS TWICE A DAY ( IP SEPT 14),take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY,take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY   (IP  AUG  15)  Notes for patient: this has been reduced to one,take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (IP  DEC  11),take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (IP AUG  09),take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (IP  FEB  10),take2tabstwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY ( 2 IN THE MORNING AND 2 AT NIGHT),take2tabstwiceaday2inthemorningand2atnight,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY / 2 tabs mane plus 1 tablet lunchtime alternate days,take2tabstwiceaday2tabsmaneplus1tabletlunchtimealternatedays,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY (8AM AMD 2PM)  (IP  AUG  11),take2tabstwiceaday8amamd2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY (8AM AND 2PM)  (IP  SEPT 14),take2tabstwiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (8AM AND 2PM),take2tabstwiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (8AM AND 2PM)  (IP  APR 15),take2tabstwiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY (8AM AND 2PM)  (IP  APR 14),take2tabstwiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY AT 8AM   AND   2PM,take2tabstwiceadayat8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY (AT 8AM AND 2PM)  (IP  OCT 13),take2tabstwiceadayat8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,"TAKE TWO TABS TWICE A DAY, (AT 8AM AND 2PM) AS DIRECTED BY THE HOSPITAL",take2tabstwiceadayat8amand2pmasdirectedbythehospital,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (OPC  JUN  11),take2tabstwiceadayopcjun11,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE A DAY  (OPC MAR 16),take2tabstwiceadayopcmar16,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE DAILY,take2tabstwicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,take 2tabs twice daily,take2tabstwicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TABS TWICE DAILY     ( 8AM AND 2PM)    (IP  OCT 13),take2tabstwicedaily8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,take two tabs   weekly,take2tabsweekly,0,0.28,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TAB  TWICE A DAY,take2tabtwiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2  tab twice daily,take2tabtwicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO THE FIRST DAY THEN ONE DAILY,take2thefirstdaythen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO THE FIRST DAY THEN ONE DAILY (RESCUE PACK OR BRONCHIECTASIS),take2thefirstdaythen1dailyrescuepackorbronchiectasis,0,2,NA,NA,NA,NA,1,1,1,NA
,"TAKE TWO THE FIRST DAY, THEN ONE TABLET DAILY",take2thefirstdaythen1tabletdaily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 THE MORNING,take2themorning,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 THE MORNING & 1 AT NOON,take2themorning1atnoon,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO  THE MORNING AND ONE AT LUNCH TIME,take2themorningand1atlunchtime,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 THEN ONE DAILY,take2then1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO THEN ONE DAILY,take2then1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 THEN 1 DAILY,take2then1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 THEN 1 EVERY DAY,take2then1everyday,0,2,NA,NA,NA,NA,1,1,1,NA
x,TAKE 2  then 3 tablets alternate days,take2then3tabletsalternatedays,0,2.5,NA,NA,NA,NA,1,1,1.5,NA
,TAKE  2 THEN TAKE 1 DAILY,take2thentake1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 THIS MORNING THEN 1 DAILY FROM TOMORROW,take2thismorningthen1dailyfromtomorrow,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY AND ONE DAILY AFTER,take2todayand1dailyafter,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY AND ONE EACH DAY THEREAFTER,take2todayand1eachdaythereafter,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY AND THE ONE EACH DAY,take2todayandthe1eachday,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY AND THEN ONE DAILY,take2todayandthen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY AND THEN 1 DAILY,take2todayandthen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY AND THEN ONE DAILY,take2todayandthen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY AND THEN ONE DAILY AFTER THAT,take2todayandthen1dailyafterthat,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY AND THEN ONE DAILY FOR A WEEK,take2todayandthen1dailyforaweek,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY THEN 1 A DAY,take2todaythen1aday,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY THEN ONE A DAY FOR 6 DAYS,take2todaythen1adayfor6days,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY THEN ONE DAILY,take2todaythen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY THEN ONE DAILY,take2todaythen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY THEN 1 DAILY,take2todaythen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE  2 TODAY THEN 1 DAILY,take2todaythen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY THEN 1 DAILY FROM TOMORROW FOR CHEST INFECTION,take2todaythen1dailyfromtomorrowforchestinfection,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY THEN ONE DAILY  Notes for patient: PLEASE STOP TETRACYCLINE WHILE TAKING TH,take2todaythen1dailynotesforpatientpleasestoptetracyclinewhiletakingth,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY THEN ONE EACH DAY,take2todaythen1eachday,0,2,NA,NA,NA,NA,1,1,1,NA
,"TAKE TWO TODAY, THEN ONE EACH DAY.",take2todaythen1eachday,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY THEN ONE EACH DAY FOR SIX DAYS,take2todaythen1eachdayfor6days,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TODAY THEN ONE EVERY DAY,take2todaythen1everyday,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY THEN 1 EVERY DAY AFTER,take2todaythen1everydayafter,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY THEN ONE TABLET(S) ADAY,take2todaythen1tabletsaday,0,2,NA,NA,NA,NA,1,1,1,NA
,"TAKE TWO TODAY, THEN EVERY DAY FOR 7 DAYS.",take2todaytheneverydayfor7days,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TODAY TODAY THEN ONE DAILY,take2todaytodaythen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TOGETHER THEN 1 DAILY,take2togetherthen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TO START THEN 1 DAILY,take2tostartthen1daily,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE 2 TO START THEN ONE DAILY FOR 5 DAYS (RESCUE MEDS),take2tostartthen1dailyfor5daysrescuemeds,0,2,NA,NA,NA,NA,1,1,1,NA
,TAKE TWO TWICE A DAY,take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE A DAY,take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (IP OCT 12),take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2  TWICE A DAY,take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,take two twice a day,take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  TWO TWICE A DAY,take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (IP SEPT 12),take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (IP FEB 12),take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO- TWICE A DAY,take2twiceaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (10AM & 2PM),take2twiceaday10am2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
x,TAKE 2 TWICE A DAY/3 AM 2 PM ALTERNATE DAYS,take2twiceaday3am2pmalternatedays,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (8AM&2PM),take2twiceaday8am2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (8A.M. AND 2 P.M.),take2twiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (8AM AND 2PM),take2twiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY 8AM AND 2PM,take2twiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE A DAY 8AM AND 2PM,take2twiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (8AM AND 2PM) (IP OCCT 12),take2twiceaday8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE A DAY AND ONE IN EVENING,take2twiceadayand1inevening,0,3,NA,NA,NA,NA,NA,NA,NA,NA
x,TAKE 2 TWICE A DAYAND THEN MONDAY AND THURSDAY TAKE EXTRA 1MG,take2twiceadayandthenmondayandthursdaytakeextra1mg,0,2.29,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE A DAY AS A TRIAL FOR A WEEK,take2twiceadayasatrialforaweek,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE A DAY  AS DIRECTED BY HOSPITAL,take2twiceadayasdirectedbyhospital,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY AT 8 AM& 2PM,take2twiceadayat8am2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY AT 8AM AND 2PM,take2twiceadayat8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY FOR HIGH BLOOD PRESSURE Notes for patient: RAMIPRIL : PLEASE SEE SIST,take2twiceadayforhighbloodpressurenotesforpatientram,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY FOR HIGH BLOOD PRESSURE  Notes for patient: RAMIPRIL : PLEASE SEE SIS,take2twiceadayforhighbloodpressurenotesforpatientram,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE A DAY FOR THE BENEFIT OF YOUR HEART,take2twiceadayforthebenefitofyourheart,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY MONDAY TUESDAY THURSDAY FRIDAY SATURDAY-BREAKFAST AND LUNCHTIME,take2twiceadaymondaytuesdaythursdayfridaysaturdaybreakfastandlunchtime,0,2.86,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (MORNING AND LUNCH),take2twiceadaymorningandlunch,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY MORNING AND LUNCH,take2twiceadaymorningandlunch,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY - MORNING AND TETIME,take2twiceadaymorningandtetime,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE A DAY  Notes for dispenser: HZC115151/ PI Dr DG Larah/Subject Number 003017,take2twiceadaynotesfordispenserhzc115151pidrdglarahsubjectnumber003017,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (OPC JUNE 12),take2twiceadayopcjune12,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (OPC MAY 13),take2twiceadayopcmay13,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE A DAY (OPC SEPT 11),take2twiceadayopcsept11,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE DAILY,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO  TWICE DAILY,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICE DAILY,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  two  TWICE DAILY,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE two TWICE DAILY,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  TWO TWICE DAILY,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,take 2  twice daily,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,take two twice daily,take2twicedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO  TWICE DAILY ( 8AM & 2PM),take2twicedaily8am2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,"TAKE TWO  TWICE DAILY ( 8AM, 2PM)",take2twicedaily8am2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO  TWICE DAILY ( 8AM & 2PM) AND TWO TABLET IN AM AND ONE TABLET AT LUNCH TIME ON AL,take2twicedaily8am2pmand2tabletinamand1tabletatlunchtimeonal,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE DAILY (8AM AND 2PM),take2twicedaily8amand2pm,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE DAILY FOR 3 DAYS THEN 1 BD- TOTAL OF 7 DAYS,take2twicedailyfor3daysthen1bdtotalof7days,0,4,NA,NA,NA,NA,1,3,2,NA
,TAKE TWO TWICE DAILY FOR 3 DAYS THEN 1 TWICE A DAY FOR 4 DAYS,take2twicedailyfor3daysthen1twiceadayfor4days,0,4,NA,NA,NA,NA,1,3,2,NA
,"TAKE TWO TWICE DAILY FOR DAY 1, 2 AND 3. THEREAFTER TAKE 1 TWICE DAILY FOR 4 DAYS",take2twicedailyforday12and3thereaftertake1twicedailyfor4days,0,4,NA,NA,NA,NA,1,3,1,NA
,TAKE 2 TWICE DAILY FOR WATER RETENTION,take2twicedailyforwaterretention,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE TWO TWICE PER DAY,take2twiceperday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 2 TWICWE DAILY,take2twicwedaily,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,"TAKE 2 WITH OR AFTER FOOD OR MILK, WHEN REQUIRED THREE TIMES A DAY",take2withorafterfoodormilkwhenrequired3timesaday,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  2 x 2 a day,take2x2aday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 300MG IN THE MORNING AND 600MG AT NIGHT,take300mginthemorningand600mgatnight,0,NA,900,NA,NA,NA,NA,NA,NA,NA
x,TAKE 3/2 MG  IN THE MORNING ALT DAYS  AND 2 AT LUNCH,take32mginthemorningaltdaysand2atlunch,0,NA,4.5,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 (3MG)  EACH MORNING AND 2 (2MG) AT 2PM,take33mgeachmorningand22mgat2pm,0,5,5,NA,NA,NA,NA,NA,NA,NA
,TAKE Three 3 TIMES/DAY,take33timesday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3.75MG ONCE DAILY,take375mgoncedaily,0,NA,3.75,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 A DAY,take3aday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 a day,take3aday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE A DAY,take3aday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 AM.,take3am,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 AM 2 LUNCHTIME,take3am2lunchtime,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE A/M TWO P/M fluid retention,take3am2pmfluidretention,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE AT 12 NOON,take3at12noon,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE AT 8AM,take3at8am,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE AT 8AM AND TWO AT 2PM,take3at8amand2at2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE  AT 8AM AND 2PM (IP DEC 11),take3at8amand2pm,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 AT 8AM AND 3 2PM,take3at8amand32pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE AT 8AM AND THREE AT 2PM,take3at8amand3at2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 AT 8AM AND 3 AT 2PM,take3at8amand3at2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 AT 8AM AND 3 AT 2 PM,take3at8amand3at2pm,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE three at night,take3atnight,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE AT NIGHT,take3atnight,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  THREE AT NIGHT Notes for patient: to be titrated up to 10mg od as per letter from Ca,take3atnightnotesforpatienttobetitratedupto10mgodasperletterfromca,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 BD,take3bd,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 bd,take3bd,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 bd to reduce fluid on lungs,take3bdtoreducefluidonlungs,0,6,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE CAPS THREE TIMES A DAY,take3caps3timesaday,0,9,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 CAPS FOUR TIMES A DAY AS PER RESPIRATORY TEAM,take3caps4timesadayasperrespiratoryteam,0,12,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE CAPS ONCE DAILY,take3capsoncedaily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE three daily,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE 3 DAILY,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE THREE DAILY,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,take 3 daily,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE three dAILY,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  THREE  DAILY,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,take  three daily,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  THREE DAILY,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE three DAILY,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,TAKE  3  daily,take3daily,0,3,NA,NA,NA,NA,NA,NA,NA,NA
